                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.34877,                0.36621,                 1.1828,                0.32442,                0.32413,                 0.3272,                0.32265,                0.22071,                0.21278,                 0.9213,              0.0012698,              0.0012698,              0.0012698
                     93,                0.34868,                0.33864,                 1.1554,                0.32426,                0.32413,                0.32543,                0.32044,                0.24896,                0.24788,                0.90177,              0.0012681,              0.0012681,              0.0012681
                     94,                0.35762,                 0.3555,                 1.1764,                0.32022,                0.32413,                0.32355,                0.31178,                0.29948,                0.33264,                0.92627,              0.0012663,              0.0012663,              0.0012663
                     95,                0.35722,                0.37464,                  1.198,                0.32266,                0.32505,                0.32532,                0.32036,                0.23468,                 0.3357,                0.90735,              0.0012645,              0.0012645,              0.0012645
                     96,                0.35624,                0.37212,                 1.1861,                0.32032,                0.32505,                0.32417,                0.31997,                0.25814,                0.34158,                0.90548,              0.0012628,              0.0012628,              0.0012628
                     97,                0.36611,                 0.3723,                 1.1999,                0.31997,                0.32505,                0.32545,                0.32095,                0.26561,                0.36397,                 0.9167,               0.001261,               0.001261,               0.001261
                     98,                0.37573,                 0.3645,                  1.209,                0.32148,                0.32473,                0.32533,                0.32176,                 0.2313,                 0.3104,                0.89955,              0.0012592,              0.0012592,              0.0012592
                     99,                0.35715,                0.35082,                 1.1688,                0.32413,                 0.3232,                0.32825,                 0.3237,                0.26766,                 0.3066,                0.92268,              0.0012575,              0.0012575,              0.0012575
                    100,                0.34501,                0.34775,                 1.1738,                0.32486,                0.32413,                0.32686,                0.32343,                0.23409,                0.30732,                0.89711,              0.0012557,              0.0012557,              0.0012557
                    101,                0.34273,                0.31779,                 1.1519,                 0.3244,                0.32413,                0.32643,                0.31441,                0.24478,                0.33994,                0.88552,              0.0012539,              0.0012539,              0.0012539
                    102,                0.33269,                0.32717,                 1.1401,                0.32483,                0.32413,                0.32438,                0.31998,                0.27337,                0.30299,                0.90457,              0.0012522,              0.0012522,              0.0012522
                    103,                0.33273,                0.33478,                 1.1619,                0.32438,                0.32413,                0.32422,                0.32014,                0.21484,                0.24148,                0.88258,              0.0012504,              0.0012504,              0.0012504
                    104,                0.35557,                0.36068,                 1.1925,                0.32382,                0.32505,                 0.3265,                0.32298,                0.23508,                0.23622,                0.90787,              0.0012486,              0.0012486,              0.0012486
                    105,                0.37147,                0.37224,                 1.2151,                0.32234,                0.32505,                0.32685,                0.32107,                0.27015,                0.30372,                0.93467,              0.0012469,              0.0012469,              0.0012469
                    106,                0.34544,                0.33871,                 1.1608,                0.32503,                0.32459,                0.32699,                0.32281,                  0.314,                0.30159,                0.97008,              0.0012451,              0.0012451,              0.0012451
                    107,                0.32052,                0.31057,                 1.1484,                0.32474,                0.32413,                0.32896,                0.32536,                0.22893,                0.28266,                0.90268,              0.0012433,              0.0012433,              0.0012433
                    108,                0.31938,                 0.3248,                 1.1516,                0.32165,                0.32505,                0.32275,                0.31792,                0.24652,                0.34412,                0.95202,              0.0012416,              0.0012416,              0.0012416
                    109,                0.34617,                0.35144,                 1.1855,                0.32403,                0.32505,                0.32489,                0.32148,                0.21479,                0.29692,                0.90945,              0.0012398,              0.0012398,              0.0012398
                    110,                0.32394,                0.32858,                 1.1617,                0.32413,                0.32413,                0.32654,                0.32243,                 0.2214,                0.28512,                0.88581,               0.001238,               0.001238,               0.001238
                    111,                0.34704,                0.34951,                 1.1799,                0.32451,                0.32413,                0.32742,                0.31881,                0.29801,                0.30679,                 0.9433,              0.0012362,              0.0012362,              0.0012362
                    112,                0.34366,                 0.3372,                 1.1655,                0.32504,                0.32474,                0.32446,                0.32141,                 0.2293,                0.27168,                0.91725,              0.0012345,              0.0012345,              0.0012345
                    113,                0.36581,                0.34567,                 1.1781,                0.32465,                0.32413,                0.32592,                0.32181,                0.22775,                0.24024,                0.88673,              0.0012327,              0.0012327,              0.0012327
                    114,                0.32708,                0.31393,                 1.1377,                0.32503,                0.32448,                0.32937,                0.32522,                0.25288,                0.23598,                 1.0037,              0.0012309,              0.0012309,              0.0012309
                    115,                0.33953,                  0.321,                 1.1668,                0.32321,                0.32505,                0.32649,                0.32067,                0.27394,                0.28177,                 0.9771,              0.0012292,              0.0012292,              0.0012292
                    116,                0.33377,                0.32779,                 1.1716,                0.32449,                0.32413,                0.32909,                0.32542,                0.23228,                0.23732,                 0.8996,              0.0012274,              0.0012274,              0.0012274
                    117,                0.34188,                0.31687,                 1.1641,                0.32398,                0.32413,                0.32886,                0.32502,                  0.268,                0.28983,                 0.9269,              0.0012256,              0.0012256,              0.0012256
                    118,                0.33755,                0.34406,                 1.1561,                0.32318,                0.32413,                0.32918,                  0.324,                0.21813,                0.25643,                0.89423,              0.0012239,              0.0012239,              0.0012239
                    119,                0.34262,                0.33065,                 1.1579,                0.32255,                0.32505,                0.32677,                0.32333,                0.24057,                0.24355,                0.90186,              0.0012221,              0.0012221,              0.0012221
                    120,                 0.3368,                0.32406,                 1.1392,                0.32456,                0.32413,                0.32574,                 0.3217,                0.23119,                0.27045,                 0.8963,              0.0012203,              0.0012203,              0.0012203
                    121,                0.33683,                0.33057,                 1.1369,                0.32324,                0.32453,                0.32664,                 0.3238,                 0.2121,                0.24275,                0.88844,              0.0012186,              0.0012186,              0.0012186
                    122,                0.32219,                0.30468,                 1.1361,                0.32415,                0.32502,                0.32627,                0.32267,                0.26558,                 0.2674,                0.90307,              0.0012168,              0.0012168,              0.0012168
                    123,                0.32275,                0.33198,                 1.1309,                 0.3234,                0.32413,                0.32891,                0.32568,                  0.182,                0.20005,                0.86759,               0.001215,               0.001215,               0.001215
                    124,                0.31314,                0.33261,                 1.1143,                0.32146,                0.32505,                0.32724,                0.32378,                0.20462,                0.22331,                 0.8653,              0.0012133,              0.0012133,              0.0012133
                    125,                0.32121,                0.31416,                 1.1255,                0.32235,                0.32419,                0.32944,                0.32604,                0.23302,                0.33533,                0.89466,              0.0012115,              0.0012115,              0.0012115
                    126,                0.33121,                0.30311,                  1.132,                0.32257,                0.32505,                0.32709,                0.32403,                0.30383,                0.27911,                0.91531,              0.0012097,              0.0012097,              0.0012097
                    127,                  0.322,                0.32834,                 1.1333,                0.32415,                0.32502,                 0.3261,                0.32138,                0.22759,                0.20392,                0.91601,               0.001208,               0.001208,               0.001208
                    128,                0.32463,                0.34374,                 1.1394,                0.32306,                0.32505,                0.32872,                0.32553,                   0.26,                0.26866,                0.90429,              0.0012062,              0.0012062,              0.0012062
                    129,                 0.3187,                0.32819,                 1.1275,                0.32414,                 0.3245,                0.32895,                 0.3247,                 0.1988,                0.26861,                 0.8719,              0.0012044,              0.0012044,              0.0012044
                    130,                0.31663,                0.32602,                 1.1139,                0.32315,                0.32505,                0.32815,                0.32523,                0.19643,                0.25912,                0.87874,              0.0012026,              0.0012026,              0.0012026
                    131,                0.31473,                0.34121,                 1.1259,                0.32369,                0.32413,                0.32901,                0.32483,                0.23145,                0.28051,                0.91267,              0.0012009,              0.0012009,              0.0012009
                    132,                0.32387,                0.31534,                 1.1291,                0.32434,                0.32413,                0.32701,                 0.3246,                0.18728,                0.21306,                0.86053,              0.0011991,              0.0011991,              0.0011991
                    133,                0.31824,                0.30651,                  1.114,                0.32504,                0.32475,                0.32878,                0.32447,                0.24522,                0.30213,                0.89297,              0.0011973,              0.0011973,              0.0011973
